"perfil_id","gender"
0,"MALE"
1,"FEMALE"
2,"MALE"
3,"FEMALE"
4,"MALE"
5,"FEMALE"
6,"Não informado"
7,"MALE"
8,"Não informado"
9,"FEMALE"
10,"MALE"
11,"FEMALE"
12,"MALE"
13,"FEMALE"
14,"MALE"
15,"FEMALE"
16,"FEMALE"
17,"FEMALE"
18,"FEMALE"
19,"MALE"
20,"FEMALE"
21,"MALE"
22,"FEMALE"
23,"FEMALE"
24,"MALE"
25,"MALE"
26,"MALE"
27,"Não informado"
28,"FEMALE"
29,"MALE"
30,"MALE"
31,"MALE"
32,"FEMALE"
33,"MALE"
34,"MALE"
35,"MALE"
36,"MALE"
37,"MALE"
38,"MALE"
39,"MALE"
40,"MALE"
41,"FEMALE"
42,"FEMALE"
43,"MALE"
44,"MALE"
45,"Não informado"
46,"Não informado"
47,"MALE"
48,"FEMALE"
49,"FEMALE"
50,"MALE"
51,"MALE"
52,"MALE"
53,"MALE"
54,"MALE"
55,"MALE"
56,"FEMALE"
57,"FEMALE"
58,"FEMALE"
59,"FEMALE"
60,"MALE"
61,"MALE"
62,"FEMALE"
63,"MALE"
64,"MALE"
65,"MALE"
66,"MALE"
67,"Não informado"
68,"Não informado"
69,"FEMALE"
70,"MALE"
71,"FEMALE"
72,"MALE"
73,"FEMALE"
74,"MALE"
75,"MALE"
76,"MALE"
77,"FEMALE"
78,"MALE"
79,"MALE"
80,"FEMALE"
81,"MALE"
82,"MALE"
83,"MALE"
84,"MALE"
85,"MALE"
86,"MALE"
87,"FEMALE"
88,"FEMALE"
89,"MALE"
90,"MALE"
91,"MALE"
92,"FEMALE"
93,"FEMALE"
94,"MALE"
95,"MALE"
96,"MALE"
97,"MALE"
98,"MALE"
99,"FEMALE"
100,"MALE"
101,"MALE"
102,"FEMALE"
103,"FEMALE"
104,"MALE"
105,"MALE"
106,"FEMALE"
107,"FEMALE"
108,"MALE"
109,"MALE"
110,"FEMALE"
